mol	IC50(¦ÌM)	cmpdNO.
O1c2c(c3c(oc(c3)-c3cc(C4c5cc(O)cc6OC(C(c7c(C4c4ccc(O)cc4)c(O)cc(O)c7)c56)c4ccc(O)cc4)c(O)cc3)c(O)c2)C(C1c1ccc(O)cc1)c1cc(O)cc(O)c1	48.44	319
O1C=2CC(O)=C3C4[C@H](C(C3c3cc(O)cc(O)c3)c3ccc(O)cc3)C(c3c(C(C=24)C1c1ccc(O)cc1)cc(O)cc3O)c1ccc(O)cc1	38.15	320
O1c2c(C(C1c1ccc(O)cc1)c1cc(O)cc(O)c1)c(cc(O)c2)C1c2cc(ccc2OC1c1ccc(O)cc1)\C=C\c1c2c(OC(C2c2cc(O)cc(O)c2)c2ccc(O)cc2)cc(O)c1	41.68	321
O1c2c(c3c(C(C4C3C(c3c4c4c(OC(C4c4cc(O)cc(O)c4)c4ccc(O)cc4)cc3O)c3ccc(O)cc3)c3ccc(O)cc3)c(O)c2)C(C1c1ccc(O)cc1)c1cc(O)cc(O)c1	40.26	322
O(C)c1ccc(C(=O)\C=C\c2ccc(O)cc2)c(O)c1CC(O)C(C)=C	12.3	1001
O(C(CC)CC)C1C=C(CC(N)C1NC(=O)C)C(OCC)=O	0.002	1002
O1C(C(O)C(O)CO)C(NC(=O)C)C(NC(N)=N)C=C1C(O)=O	0.001	1003
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(cc(OCC)n1)C	1.65	1004
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(OCC)cc(OCC)n1	0.08	1005
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(cc(O)n1)C	0.32	1006
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(OC)cc(OC)n1	1.77	1007
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(Cl)cc(Cl)n1	14.5	1008
Clc1nc(nc(Cl)c1)NC(=S)NC(=O)C=1CC(=CC=1)c1cc([N+](=O)[O-])ccc1	1.66	1009
S=C(Nc1nc(cc(OCC)n1)C)NC(=O)C=1CC(=CC=1)c1cc([N+](=O)[O-])ccc1	2.3	1010
S=C(Nc1nc(cc(O)n1)C)NC(=O)C=1CC(=CC=1)c1cc([N+](=O)[O-])ccc1	0.36	1011
Clc1cc(ccc1)-c1oc(cc1)C(=O)NC(=S)NC(=O)NC(C)(C)C	1.42	1012
S=C(NC(=O)c1oc(cc1)-c1cc([N+](=O)[O-])ccc1)NC(=O)NC(C)(C)C	1.3	1013
S=C(NC(=O)c1ccccc1)NC(=O)NC(C)(C)C	1.79	1014
S=C(NC(=O)NC(C)(C)C)NC(OC)=O	1.83	1015
Clc1cc(cc(Cl)c1)COC(=O)NC(=S)NC(=O)NC(C)(C)C	1.67	1016
S=C(NC(=O)c1c(F)cccc1F)NC(=O)NC(C)(C)C	1.43	1017
Cl\C(=C/C1C(C)(C)C1C(=O)NC(=S)NC(=O)NC(C)(C)C)\C(F)(F)F	0.51	1018
Cl\C(\Cl)=C\C1C(C)(C)C1C(=O)NC(=S)NC(=O)NC(C)(C)C	0.26	1019
S=C(Nc1nc(cc(OC)n1)C)NC(=O)NC(=O)c1oc(cc1)-c1cc([N+](=O)[O-])ccc1	1.22	1020
Clc1cc(ccc1)-c1oc(cc1)C(=O)NC(=O)NC(=S)Nc1nc(OC)cc(Cl)n1	1.29	1021
Clc1cnccc1C(=O)NC(=O)NC(=S)Nc1nc(cc(n1)C)C	7.19	1022
Clc1cnccc1C(=O)NC(=O)NC(=S)Nc1nc(OC)cc(Cl)n1	2.59	1023
Clc1nc(Cl)cc(c1)C(=O)NC(=O)NC(=S)Nc1nc(OC)cc(OC)n1	18.5	1024
S=C(Nc1nc(cc(n1)C)C)NC(=O)NC(=O)c1ccccc1	2.1	1025
S=C(Nc1nc(OC)cc(OC)n1)NC(=O)NC(=O)C1C(C)(C)C1\C=C/C(F)(F)F	0.97	1026
S=C(Nc1nc(cc(n1)C)C)NC(=O)NC(=O)C1C(C)(C)C1\C=C/C(F)(F)F	0.58	1027
Clc1cc(cc(F)c1)C(=O)NC(=O)NC(=S)Nc1nc(cc(n1)C)C	1.36	1028
Clc1cc(cc(F)c1)C(=O)NC(=O)NC(=S)Nc1nc(OC)cc(Cl)n1	5.1	1029
Clc1cc(cc(Cl)c1)COC(=O)NC(=O)NC(=S)Nc1nc(OC)cc(OC)n1	1.89	1030
Clc1cnccc1C(=O)NC(=O)NC(=S)Nc1nc(cc(O)n1)C	8.58	1031
S\1N2C(N=C(O)C=C2C)=N/C/1=N/C(=O)c1occ([N+](=O)[O-])c1	0.67	1032
S\1N2C(N=C(OCC)C=C2OCC)=N/C/1=N/C(=O)c1occ([N+](=O)[O-])c1	5.25	1033
Clc1oc(cc1)C(=O)\N=C\1/SN2C(N=C(C=C2OCC)C)=N/1	0.35	1034
ClC1=NC=2N(S\C(\N=2)=N/C(=O)c2nc(Cl)ccc2)C(OC)=C1	9.32	1035
Clc1nc(ccc1)C(=O)\N=C\1/SN2C(N=C(OCC)C=C2OCC)=N/1	0.09	1036
Clc1ccc(nc1)C(=O)\N=C\1/SN2C(N=C(OC)C=C2OC)=N/1	2.41	1037
Clc1nc(nc(OC)c1)NC(=O)NCc1c(F)cccc1F	15.9	1038
O(C(CC)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.001	1039
O(CCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.13	1040
O(COC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	2	1041
FC(F)(F)CCOC1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.225	1042
O(CC=C)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	2.2	1043
O(CC1CCCC1)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.022	1044
O(C1C=C(CC(N)C1NOC(=O)C)C(O)=O)C1CCCCC1	0.06	1045
O(C1C=C(CC(N)C1NOC(=O)C)C(O)=O)c1ccccc1	0.53	1046
FC(F)(F)C(=O)NC1C(N)CC(=CC1OCCC)C(O)=O	0.1	1047
O(CCC)C1C=C(CC(N)C1NC(=O)CC)C(O)=O	1.5	1048
O(CCC)C1C=C(CC(NC=N)C1NOC(=O)C)C(O)=O	0.14	1049
O(CCC)C1C=C(CC(NC(N)=N)C1NOC(=O)C)C(O)=O	0.002	1050
O(CCC)C1C=C(CC(N\C(=N\C)\N)C1NOC(=O)C)C(O)=O	0.005	1051
S1CC(NC1c1ccccc1C(O)=O)C(O)=O	18.1	1052
S1CC(NC1c1cccc(O)c1O)C(O)=O	12.3	1053
ClCC(=O)N1C(SCC1C(O)=O)c1ccccc1	7.53	1054
ClCC(=O)N1C(SCC1C(O)=O)c1ccccc1O	5.84	1055
ClCC(=O)N1C(SCC1C(O)=O)c1ccccc1C(O)=O	10.7	1056
ClCC(=O)N1C(SCC1C(O)=O)c1ccc(cc1)C#N	8.64	1057
ClCC(=O)N1C(SCC1C(O)=O)c1ccccc1[N+](=O)[O-]	7.65	1058
ClCC(=O)N1C(SCC1C(O)=O)c1cccc(OC)c1O	7.92	1059
ClCC(=O)N1C(SCC1C(O)=O)c1occc1	12.9	1060
S1CC(N(C(=O)Cc2ccccc2)C1c1ccccc1)C(O)=O	1.21	1061
S1CC(N(C(=O)Cc2ccccc2)C1c1ccccc1O)C(O)=O	0.65	1062
S1CC(N(C(=O)Cc2ccccc2)C1c1ccccc1C(O)=O)C(O)=O	1.92	1063
S1CC(N(C(=O)Cc2ccccc2)C1c1ccc(cc1)C#N)C(O)=O	2.47	1064
S1CC(N(C(=O)Cc2ccccc2)C1c1ccccc1[N+](=O)[O-])C(O)=O	1.87	1065
S1CC(N(C(=O)Cc2ccccc2)C1c1cccc(OC)c1O)C(O)=O	1.62	1066
S1CC(N(C(=O)Cc2ccccc2)C1c1occc1)C(O)=O	2.89	1067
S1CC(N(C(=O)CN)C1c1ccccc1)C(O)=O	0.53	1068
S1CC(N(C(=O)CN)C1c1ccccc1O)C(O)=O	0.21	1069
S1CC(N(C(=O)CN)C1c1ccccc1C(O)=O)C(O)=O	0.28	1070
S1CC(N(C(=O)CN)C1c1ccc(cc1)C#N)C(O)=O	0.81	1071
S1CC(N(C(=O)CN)C1c1ccccc1[N+](=O)[O-])C(O)=O	1.02	1072
S1CC(N(C(=O)CN)C1c1cccc(OC)c1O)C(O)=O	0.14	1073
S1CC(N(C(=O)CN)C1c1occc1)C(O)=O	0.98	1074
O1c2c(Oc3c1c(O)cc1oc4c(c13)c(O)cc(O)c4Oc1cc(O)cc(O)c1)c(O)cc(O)c2-c1cc(O)cc(O)c1	14.7	1075
OC1C=C(CC(N)C1NOC(=O)C)C(O)=O	6.3	1076
O(C)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	3.7	1077
O(CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	2	1078
O(CCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.18	1079
O(CCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.3	1080
O(CCCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.15	1082
O(CCCCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.27	1083
O(CCCCCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.18	1084
O(CCCCCCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.21	1085
O(CCCCCCCCCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.6	1086
O(CC(C)C)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.2	1087
O([C@@H](CC)C)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.01	1088
O([C@H](CC)C)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.009	1089
O(C(CC=C)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.001	1091
O(C(CCCCCCC)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.001	1093
O(C(CC1CCCCC1)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.016	1095
O(C(CCC1CCCCC1)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.001	1096
O(Cc1ccccc1)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.62	1098
O(C(CCc1ccccc1)CC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0	1099
O(CCCc1ccc(cc1)-c1ccccc1)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.09	1101
OC1C=C(CC(NC(N)=N)C1NOC(=O)C)C(O)=O	0.01	1102
O([C@@H](CC)C)C1C=C(CC(NC(N)=N)C1NOC(=O)C)C(O)=O	0.001	1104
O([C@H](CC)C)C1C=C(CC(NC(N)=N)C1NOC(=O)C)C(O)=O	0.001	1105
O(C(CC)CC)C1C=C(CC(NC(N)=N)C1NOC(=O)C)C(O)=O	0.001	1106
O(C(CC)CC)C1C(NOC(=O)C)C(N)CC(C(O)=O)=C1C	2.3	1107
FC=1C(OC(CC)CC)C(NOC(=O)C)C(N)CC=1C(O)=O	0.003	1108
O(C(CC)CC)C1C=C(C(O)=O)C(C)C(N)C1NOC(=O)C	1.5	1109
O(C(CCC)CCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	0.016	1110
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2.O(C(CCC)CCC)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	31.6	1111
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2	33.7	1112
O1c2c(c(O)c(OC)c(O)c2)C(=O)C=C1c1ccc(O)cc1	46.3	1113
O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1	37.1	1114
O\1c2c(ccc(O)c2)C(=O)/C/1=C\c1cc(O)c(O)cc1	29.6	1115
O\1c2c(ccc(O)c2)C(=O)/C/1=C\c1ccc(O)cc1	22	1116
O\1c2c(C(=O)/C/1=C\c1ccc(O)cc1)c(O)cc(O)c2	25.6	1117
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1C(COCC1C)C.O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2C	43.46	1118
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCN(CC1)Cc1ccccc1	46.54	1119
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)Cc1ccccc1	46.11	1120
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CC(O)CCC1	45.35	1121
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)CO	40.91	1122
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CNC1CCCC1	44.47	1123
O=C1N(c2ccc(cc2NC(CC)CC)C(O)=O)C(CC1)(CO)CO	0.048	1124
O(C(CC)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1125
O(CCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.128	1126
FC(F)(F)CCOC1C=C(CC(N)C1NC(=O)C)C(O)=O	0.224	1127
O(C1C=C(CC(N)C1NC(=O)C)C(O)=O)C1CCCC1	0.021	1128
O(C1C=C(CC(N)C1NC(=O)C)C(O)=O)C1CCCCC1	0.06	1129
O(C1C=C(CC(N)C1NC(=O)C)C(O)=O)c1ccccc1	0.524	1130
O(CCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.302	1132
O(CCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.199	1133
O.O(CCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.151	1134
O.O(CCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.269	1135
O.O(CCCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.182	1136
O.O(CCCCCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.602	1137
O.O(CC(C)C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.199	1138
O.O([C@@H](CC)C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.01	1139
O.O([C@H](CC)C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.009	1140
O.O(C(CC)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1141
O.O([C@@H](CC=C)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1142
O.O([C@H](CC=C)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.003	1143
O.O(C(CCCCCCC)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1144
O.O(C1C=C(CC(N)C1NC(=O)C)C(O)=O)c1ccccc1	0.524	1145
O.O(Cc1ccccc1)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.617	1146
O.O([C@@H](CCc1ccccc1)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0	1147
O.O([C@H](CCc1ccccc1)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.012	1148
O.O(CCCC#C\C=C\C#Cc1ccccc1)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.089	1149
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCC)C)C(NC(N)=N)C1	0.933	1150
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CC=C)C)C(NC(N)=N)C1	0.646	1151
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CC)CC)C(NC(N)=N)C1	0.015	1152
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCC)CC)C(NC(N)=N)C1	0.129	1153
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCCC)CC)C(NC(N)=N)C1	0.427	1154
OC(=O)C1CC(C(NC(=O)C)C(=O)N(Cc2ccccc2)CC)C(NC(N)=N)C1	0.676	1155
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCO)CC)C(NC(N)=N)C1	0.724	1156
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCC)CCC)C(NC(N)=N)C1	0.06	1157
FC(F)(F)C(=O)NC1N(CC(C(O)=O)C1N)C(=O)N(C(C)C)CC	0.282	1158
OC1C(C(NC(=O)C)C(CC)CC)C(NC(N)=N)CC1C(O)=O	>20	1159
OC(=O)C1CC(C(NC(=O)C)CCCC)C(NC(N)=N)C1	0.363	1160
FC(F)(F)C(=O)NCC1N(CC(C(O)=O)C1N)C(=O)N(C(C)C)CC	0.741	1162
O1C(C(=O)N(CCC)C)C(NC(=O)C)C(N)C=C1C(O)=O	0.087	1164
O1C(C(=O)N(CCC)CCC)C(NC(=O)C)C(N)C=C1C(O)=O	0.005	1165
O1C(C(=O)N(CC)CC)C(NC(=O)C)C(N)C=C1C(O)=O	0.002	1166
O1C(C(=O)N(CCc2ccccc2)CC)C(NC(=O)C)C(N)C=C1C(O)=O	0.002	1167
O1C(C(=O)N2CC=CC2)C(NC(=O)C)C(N)C=C1C(O)=O	0.002	1168
O1C(C(=O)NCCC)C(NC(=O)C)C(NC(N)=N)C=C1C(O)=O	0.251	1169
O1C(C(=O)N(C)C)C(NC(=O)C)C(NC(N)=N)C=C1C(O)=O	0.011	1170
O1C(C(=O)N(CCC)C)C(NC(=O)C)C(NC(N)=N)C=C1C(O)=O	0.002	1171
O1C(CC(O)CO)C(NC(=O)C)C(NC(N)=N)C=C1C(O)=O	0	1173
O1C(OC(CC)CC)C(NC(=O)C)C(N)C=C1C(O)=O	0	1174
O1C(C(O)C(O)CO)C(NC(=O)C)C(NC(N)=N)CC1C(O)=O	0.002	1179
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCC(O)=O)C(N)=N)C=C1C(O)=O	7.12	1180
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCC(=O)N2CCN(CC2)C)C(N)=N)C=C1C(O)=O	6.5	1181
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](\N=C(\N)/N)C=C1C(O)=O	0.004	1182
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCC(=O)N2CCNCC2)C(N)=N)C=C1C(O)=O	2.15	1183
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCC2)C=1	0.001	1184
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCCC2)C=1	0.31	1185
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCCCC2)C=1	0.025	1186
OC(=O)C=1CC(N)C(NC(=O)C)C(C=1)C1CCCCCC1	0.035	1187
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCCCCCC2)C=1	0.026	1188
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCCCCCCC2)C=1	0.075	1189
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CC(C2)(CC)CC)C=1	0.265	1190
O1CCN(CC1)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.26	1191
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCC(CC2)C)C=1	0.051	1192
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCC(CC2)CC)C=1	0.052	1193
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCC(CC2)CCC)C=1	0.04	1194
OC(=O)C=1CC(N)C(NC(=O)C)C(N2C3CCC2CCC3)C=1	0.032	1195
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCCCCC2CO)C=1	0.008	1196
S(CCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.212	1203
OC(=O)C=1CC(N)C(NC(=O)C)C(C=1)CCCC	0.22	1204
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCC)C)C=1	0.065	1205
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCCC)C)C=1	0.18	1206
OC(=O)C=1CC(N)C(NC(=O)C)C(N(C(CC)CC)C)C=1	0.006	1207
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCc2ccccc2)C)C=1	0.1	1208
OC(=O)C=1CC(N)C(NC(=O)C)C(N(C)C2CCCCC2)C=1	0.2	1209
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCC)CC)C=1	0.09	1210
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCCC)CC)C=1	0.085	1211
OC(=O)C=1CC(N)C(NC(=O)C)C(N(CCC)CCC)C=1	0.012	1212
OC(=O)C=1CC(N)C(NC(=O)C)C(NCCC)C=1	0.2	1213
OC(=O)C=1CC(N)C(NC(=O)C)C(NC(CC)CC)C=1	0.011	1214
O(CCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.15	1217
O(CCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.27	1218
O(CCCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.18	1219
O(CCCCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.21	1220
O(CCCCCCCCCC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.239	1221
O(C(CC)C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.01	1222
O(C(CC=C)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1223
O(C(CCCCCCC)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1225
O(C(CC1CCCCC1)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.016	1226
O(C(CCC1CCCCC1)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.001	1227
O(Cc1ccccc1)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.619	1228
O(C(CCc1ccccc1)CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0	1229
O(CCCc1ccc(cc1)-c1ccccc1)C1C=C(CC(N)C1NC(=O)C)C(O)=O	0.09	1231
OC1C=C(CC(NC(N)=N)C1NC(=O)C)C(O)=O	0.1	1232
O(CCC)C1C=C(CC(NC(N)=N)C1NC(=O)C)C(O)=O	0.002	1233
O(CCCC)C1C=C(CC(NC(N)=N)C1NC(=O)C)C(O)=O	0.003	1234
O(C(CC)C)C1C=C(CC(NC(N)=N)C1NC(=O)C)C(O)=O	0.001	1235
O(C(CC)CC)C1C=C(CC(NC(N)=N)C1NC(=O)C)C(O)=O	0.001	1236
OC(=O)C1=NN(C(=O)C(CC)CC)C(NC(=O)C)C(NC(N)=N)C1	0.14	1238
O1c2c(C(C1c1ccc(O)cc1)c1cc(O)cc(O)c1)c(cc(O)c2)C1c2c3C(C1c1ccc(O)cc1)C(c1c(C4c3c(OC4c3ccc(O)cc3)cc2O)cc(O)cc1O)c1ccc(O)cc1	8.94	1240
