mol	IC50(¦ÌM)	cmpdNO.
Oc1c(C\C=C(\CCC(O)C(C)=C)/C)c(O)ccc1C(=O)\C=C\c1ccc(O)cc1	22.5	61
O(C)c1ccc(C(=O)\C=C\c2ccc(O)cc2)c(O)c1C\C=C(\CCC(O)C(C)=C)/C	24.2	62
O(C)c1ccc(C(=O)\C=C\c2ccc(O)cc2)c(O)c1C\C=C(\CC\C=C(\C)/C)/C	85.9	63
O(C)c1ccc(C(=O)\C=C\c2ccc(O)cc2)c(O)c1C\C=C(\C)/C	42.1	64
Oc1c(C\C=C(\CCC(OC)OC)/C)c(O)ccc1C(=O)\C=C\c1ccc(O)cc1	30.9	65
Clc1nc(nc(c1)C)NC(=O)NCc1c(F)cccc1F	>20	66
Fc1cccc(F)c1CNC(=O)Nc1nc(OC)cc(OC)n1	>20	67
Fc1cccc(F)c1CNC(=O)Nc1nc(cc(n1)C)C	>20	68
S\1N2C(N=C(OC)C=C2OC)=N/C/1=N/C(=O)c1ncccc1	>20	69
Clc1cc(cc(Cl)c1)COC(=O)\N=C\1/SN2C(N=C(OC)C=C2OC)=N/1	>20	70
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2OC	43.79	71
O1C(CO)C(O)C(O)C(OC2OCC(O)C(O)C2O)C1OC1=C(Oc2c(C1=O)c(O)cc(O)c2)c1ccc(O)cc1.[H][H]	42.21	72
O\1c2c(ccc(O)c2)C(=O)/C/1=C\c1ccccc1	72	73
O1C(CO)C(O)C(O)C(O)C1Oc1ccc(cc1)C1=COc2c(C1=O)c(O)cc(O)c2	>100	74
O1CC(C(=O)c2c1cc(O)cc2)c1ccc(OC)cc1	>100	75
O1C=C(C(=O)c2c1cc(O)cc2O)c1ccc(O)cc1	77.1	76
O1c2c(CC(O)C1c1cc(O)c(O)cc1)c(O)cc(O)c2	>100	77
O1C(COC2OC(CC)C(O)C(O)C2O)C(O)C(O)C(O)C1Oc1cc(O)c2c(OC(CC2=O)c2cc(O)c(OC)cc2)c1.[H][H]	>100	79
O1C(CO)C(O)C(O)C(O)C1Oc1ccc(cc1)C1Oc2c(ccc(O)c2)C(=O)C1	>100	80
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2	>100	81
O1C(CC)C(O)C(O)C(O)C1OC1OC(OC2=C(Cc3c(C2=O)c(O)cc(O)c3)c2cc(O)c(OO)cc2)C(O)C(O)C1O.[H][H]	52.2	82
O1c2c(C(=O)C(O)C1c1ccc(O)cc1)c(O)cc(OC)c2	51.5	83
O1c2c(C(=O)C(O)C1c1cc(O)c(O)c(O)c1)c(O)cc(O)c2	82.6	84
OC1=C(Cc2c(C1=O)c(O)cc(O)c2)c1cc(O)c(O)cc1	58.4	85
O1c2c(C(=O)C(O)=C1c1ccc(O)cc1)c(O)cc(O)c2	58.6	86
Oc1c2c(CC(=CC2=O)c2ccccc2)cc(O)c1	45.7	87
O1C(C(O)C(O)C(O)C1CO)c1c2OC(=CC(=O)c2c(O)cc1O)c1ccc(O)cc1	46.5	88
O1C(CO)C(O)C(O)C(O)C1Oc1cc(O)c2c(OC(CC2=O)c2cc(O)c(O)cc2)c1	47.4	89
O1c2c(c(O)c(O)c(O)c2)C(=O)C=C1c1ccc(O)cc1	50.6	90
S(=O)(=O)(C(=O)NC1C(N)CC(=CC1OCCC)C(O)=O)C	25	91
S1CC(NC1c1ccccc1)C(O)=O	21.3	92
S1CC(NC1c1ccccc1O)C(O)=O	20.2	93
S1CC(NC1c1ccc(cc1)C#N)C(O)=O	23.4	94
S1CC(NC1c1ccccc1[N+](=O)[O-])C(O)=O	22.5	95
S1CC(NC1c1occc1)C(O)=O	43.1	96
Oc1cc(O)cc(O)c1	>200	97
O1c2c(Oc3c1c(O)cc(O)c3)c(O)cc(O)c2Oc1cc(O)cc(O)c1	>200	98
O1c2c(Oc3c1c(O)cc(Oc1c(O)cc(O)cc1O)c3)c(O)cc(O)c2Oc1cc(O)cc(O)c1	41.2	99
O1c2c(Oc3c1c(O)cc(Oc1c(O)cc(Oc4c5Oc6c(Oc5c(O)cc4O)cc(O)cc6O)cc1O)c3)c(O)cc(O)c2-c1cc(O)cc(O)c1	20.5	100
O(C(Cc1ccccc1)Cc1ccccc1)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	>1	101
O(C(CCCc1ccccc1)CCCc1ccccc1)C1C=C(CC(N)C1NOC(=O)C)C(O)=O	>1	102
O1c2c(c(O)c(O)c(O)c2CN2CCCCC2)C(=O)CC1c1ccccc1	103.87	103
O1c2c(c(O)c(O)c(O)c2CN2CCNCC2)C(=O)CC1c1ccccc1	301.71	104
O1c2c(c(O)c(O)c(O)c2CN2CCN(CC2)CCO)C(=O)CC1c1ccccc1	276.43	105
O1c2c(c(O)c(O)c(O)c2CN2CCN(O)CC2)C(=O)CC1c1ccccc1	92.54	106
O1c2c(c(O)c(O)c(O)c2CN2CCCC2)C(=O)CC1c1ccccc1	107.11	107
O1c2c(c(O)c(O)c(O)c2CN2CCCCC2C)C(=O)CC1c1ccccc1	99.66	108
O1c2c(c(O)c(O)c(O)c2CN2CCC(CC2)CO)C(=O)CC1c1ccccc1	470.1	109
O1c2c(c(O)c(O)c(O)c2CN2C(COCC2C)C)C(=O)CC1c1ccccc1	591.03	110
O1c2c(c(O)c(O)c(O)c2CN2CC(O)CCC2)C(=O)CC1c1ccccc1	68.22	111
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCCC1	181.75	112
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCNCC1	431.12	113
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCOCC1	447.9	114
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CC(O)CCC1	258.83	115
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCC(O)CC1	295.26	116
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCN(CC1)CCO	135.33	117
O1c2c(C(=O)CC1c1ccccc1)c(O)cc(O)c2CN1CCC(CC1)CO	83.7	118
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCCCC1	62.87	119
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CC(O)CCC1	63.63	120
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCC(CC1)CO	64.21	121
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCOCC1	81.87	122
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCN(CC1)C	53.82	123
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(O)CC1	167.52	124
O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCCCC1C.O1c2c(C(=O)CC1c1cc(O)c(O)cc1)c(O)cc(O)c2C	161.18	125
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCOCC1	50.49	126
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CC(CCC1)C	52.47	127
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CC(OCC1C)C	63.59	128
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)C	164.49	129
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCN(CC1)C	148.4	130
O1c2c(C(=O)CC1c1ccc(O)cc1)c(O)cc(O)c2CN1CCCCC1CO	49.71	131
O=C1N(CCC1)c1ccc(cc1NC(N)=N)C(O)=O	251.18	132
O=C1N(c2ccc(cc2NC(N)=N)C(O)=O)C(CC1)CN	2570	133
O=C1N(C(CC1)(CO)CO)c1ccc(cc1)C(O)=O	758.58	134
O=C1N(CCC1)c1ccc(cc1NC(CC)CC)C(O)=O	223.87	135
O=C1N(c2ccc(cc2NC(N)=N)C(O)=O)C(CC1)CO	19.95	136
O=C1N(c2ccc(cc2NC(N)=N)C(O)=O)C(CC1)(CO)CO	5.01	137
O(COC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	1.995	138
OC1C=C(CC(N)C1NC(=O)C)C(O)=O	6.3	139
O(C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	3.7	140
